question,answer
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'beguile' mean?,يخدع
What does 'bombastic' mean?,منمق
What does 'capricious' mean?,متقلب
What does 'chicanery' mean?,مراوغة
What does 'deleterious' mean?,ضار
What does 'disparate' mean?,متفاوت
What does 'ebullient' mean?,متحمس
What does 'ephemeral' mean?,زائل
What does 'esoteric' mean?,محدود
What does 'exculpate' mean?,يبرئ
What does 'fastidious' mean?,صعب الارضاء
What does 'grandiloquent' mean?,متفخم
What does 'gregarious' mean?,اجتماعي
What does 'harangue' mean?,خطبة طويلة
What does 'idiosyncratic' mean?,خاص
What does 'laconic' mean?,مقتضب
What does 'mollify' mean?,يلين
What does 'nefarious' mean?,شائن
What does 'acerbic' mean?,لاذع
What does 'acrimony' mean?,حقد
What does 'adversity' mean?,محنة
What does 'ambivalence' mean?,تناقض المشاعر
What does 'animosity' mean?,عداء
What does 'antagonism' mean?,تعارض
What does 'ascertain' mean?,يتحقق من
What does 'belligerent' mean?,متحارب
What does 'benevolent' mean?,خير
What does 'camaraderie' mean?,روح الصداقة
What does 'circumvent' mean?,يتحايل
What does 'commiserate' mean?,يعزي
What does 'compassionate' mean?,رحيم
What does 'contemplate' mean?,يتأمل
What does 'culminate' mean?,يبلغ ذروته
What does 'daunting' mean?,مرهب
What does 'debilitate' mean?,يوهن
What does 'detrimental' mean?,ضار
What does 'dilemma' mean?,معضلة
What does 'discrepancy' mean?,تفاوت
What does 'disseminate' mean?,ينشر
What does 'elusive' mean?,مراوغ
What does 'emulate' mean?,يحاكي
What does 'epitome' mean?,مثال
What does 'equanimity' mean?,رباطة جأش
What does 'fortitude' mean?,جلد
What does 'frustration' mean?,إحباط
What does 'gratitude' mean?,امتنان
What does 'harrowing' mean?,مفجع
What does 'imperative' mean?,ضروري
What does 'inadvertent' mean?,غير مقصود
What does 'indignant' mean?,ساخط
What does 'indispensable' mean?,لا غنى عنه
What does 'infinitesimal' mean?,متناهي الصغر
What does 'integrity' mean?,نزاهة
What does 'intricate' mean?,معقد
What does 'inundate' mean?,يغمر
What does 'juxtapose' mean?,يضع جنبًا إلى جنب
What does 'languish' mean?,يذبل
What does 'longevity' mean?,طول العمر
What does 'melancholy' mean?,حزن
What does 'metamorphosis' mean?,تحول
What does 'mitigate' mean?,يخفف
What does 'nostalgia' mean?,حنين
What does 'oblivion' mean?,نسيان
What does 'ominous' mean?,مشؤوم
What does 'perseverance' mean?,مثابرة
What does 'precarious' mean?,غير مستقر
What does 'profound' mean?,عميق
What does 'prolific' mean?,غزير الإنتاج
What does 'quandary' mean?,حيرة
What does 'reciprocate' mean?,يبادل
What does 'resilience' mean?,القدرة على التحمل
What does 'reverence' mean?,تبجيل
What does 'serenity' mean?,سكينة
What does 'solitude' mean?,عزلة
What does 'subsistence' mean?,قوت
What does 'tedious' mean?,ممل
What does 'tenacity' mean?,ثبات
What does 'tranquility' mean?,هدوء
What does 'tumultuous' mean?,صاخب
What does 'unfathomable' mean?,عصي على الفهم
What does 'vigilant' mean?,متيقظ
What does 'vivacious' mean?,نشيط
What does 'whimsical' mean?,غريب الأطوار
What does 'wistful' mean?,متحسر
What does 'zeal' mean?,حماس
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
What does 'convoluted' mean?,ملتوي
What does 'diligence' mean?,اجتهاد
What does 'elation' mean?,نشوة
What does 'ephemeral' mean?,عابر
What does 'fortuitous' mean?,عرضي
What does 'gregarious' mean?,اجتماعي
What does 'incipient' mean?,بادئ
What does 'lucid' mean?,واضح
What does 'affluent' mean?,ثري
What does 'benevolence' mean?,خير
